;meta[fps=30]
;meta[frames=18]
jaw_open_a;-0.00816762;0.010544764;0.02779429;0.03309715;0.027139053;0.01396572;-0.008274286;-0.002826667;0.0012342859;0.0011047622;-0.0004114287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;-0.016111543;0.0084580565;0.05637029;0.11116162;0.15698197;0.18110907;0.1706094;0.17322426;0.15431683;0.11007544;0.0544896;0.010057138;-0.009021265;-0.0069897138;-0.0009051424;0.00080457155;0;0;0;0;0;0;0;0;0;0
jaw_chew;0.000057253023;-0.00067558564;-0.00052100257;0.0039294655;0.016381998;0.035277408;0.044991333;0.04006948;0.023887869;0.00755549;-0.0008320773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;-0.003202448;0.02887871;0.09239864;0.17091689;0.23295684;0.26510727;0.26470107;0.25960928;0.22888215;0.16764201;0.092688344;0.031599365;0.0008911366;-0.0045407373;-0.0015177774;0.00015744581;0;0;0;0;0;0;0;0;0;0
jaw_back;0.00020674702;-0.0025859282;-0.00067113223;0.019574171;0.06879587;0.12972422;0.21721478;0.35911956;0.5593525;0.77363616;0.9321635;0.96800065;0.8970054;0.78645617;0.69343907;0.5590598;0.39122897;0.2077696;0.06389914;-0.0071200486;0;0;0;0;0;0;0;0;0;0
corner_right_tight;-0.0018405786;0.017745255;0.04329998;0.060085986;0.05814336;0.045781054;0.034316402;0.05379499;0.08598694;0.11724524;0.13880561;0.14437337;0.13372174;0.11721444;0.10327205;0.08320009;0.058198657;0.030891664;0.009474899;-0.0010564774;0;0;0;0;0;0;0;0;0;0
corner_left_tight;-0.0017348197;0.0166988;0.04107348;0.057252757;0.055460423;0.043462146;0.031980798;0.049278524;0.078637235;0.10717697;0.12677358;0.13185482;0.12223077;0.10716844;0.09449738;0.076176584;0.053308133;0.028289994;0.008702301;-0.00096964353;0;0;0;0;0;0;0;0;0;0
corner_right_spread;-0.0012338556;0.011169639;0.035620395;0.06133839;0.072203755;0.061915435;0.035299405;0.014815547;0.0040040016;0.0003042893;-0.00006493979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_spread;-0.001270964;0.011503615;0.036711384;0.06321979;0.07442098;0.06390073;0.03654254;0.015455665;0.0042786035;0.00038592788;-0.0000742169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_out;0.00011132531;-0.0012958266;-0.0011110265;0.006721822;0.027751176;0.055716094;0.09275291;0.1479302;0.2228232;0.30258444;0.36221805;0.37644547;0.34893587;0.3060701;0.26986706;0.21750629;0.15211046;0.080717534;0.024787696;-0.0027630946;0;0;0;0;0;0;0;0;0;0
corner_left_out;0.00010019278;-0.0011689159;-0.0009952482;0.006274295;0.025918761;0.0522216;0.08699295;0.13860114;0.20842329;0.2827018;0.3382364;0.35152307;0.3257713;0.28558838;0.25167203;0.20276906;0.14178394;0.07526482;0.023135629;-0.0025782948;0;0;0;0;0;0;0;0;0;0
corner_right_in;0.000022265065;-0.000089060246;-0.0016921448;-0.004542073;-0.0026718078;0.016698798;0.034199137;0.041101307;0.031037498;0.012936002;-0.0013359038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_in;0.000022265065;-0.000100192796;-0.0015919522;-0.0041746995;-0.0023823618;0.015307232;0.031249017;0.0374721;0.028243233;0.0117448205;-0.0012134459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_up;0.0000667952;-0.00084161933;-0.00018034721;0.0066594803;0.023244726;0.043717455;0.07315075;0.12097166;0.18848936;0.26081407;0.31431922;0.3264081;0.3024998;0.265266;0.23385666;0.18849492;0.13182366;0.06994793;0.021482447;-0.0023946075;0;0;0;0;0;0;0;0;0;0
