;meta[fps=30]
;meta[frames=29]
jaw_open_a;-0.0069485717;0.009142858;0.022765717;0.028160002;0.025325716;0.014262858;-0.0053028576;-0.004068572;-0.0016914287;0.012114286;0.032704003;0.07608229;0.12188344;0.12246401;0.084864005;0.055437725;0.019282289;0.010578287;0.018377146;0.009188573;-0.0061257146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;-0.006939429;0.000251428;0.028649146;0.05690972;0.07977601;0.09825373;0.10589715;0.12250514;0.13333029;0.14306286;0.12616077;0.08617295;0.048440393;0.039401144;0.04672762;0.07601067;0.07460572;0.030078474;0.017987808;0.04581638;0.10235581;0.16320229;0.164976;0.104496;0.052128002;0.0065760002;-0.013199999;-0.0027840002;0.0007680001;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;-0.00027036152;0.0018639038;0.01380434;0.023553258;0.026400005;0.019497836;0.0082889665;-0.003459037;0.004955568;0.031775426;0.074290566;0.10986219;0.11859646;0.09059177;0.05021726;0.018002894;0.0028594695;-0.00097012054;0.000047710855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;-0.001517205;0.0138409175;0.043655425;0.06324312;0.07587457;0.07541296;0.0702924;0.07805018;0.09627453;0.11273835;0.13815868;0.17292488;0.2009581;0.19103903;0.14099273;0.08622305;0.039819475;0.02351238;0.020611085;0.0072847307;0.026216872;0.08688217;0.16348456;0.22352506;0.22460717;0.1610198;0.08691223;0.026315635;-0.0023595397;-0.0018335278;0.00015028917;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00011927713;-0.0011927712;-0.0023855425;-0.0029819282;-0.0023855425;-0.00507882;0.02853109;0.1702013;0.41588593;0.67462903;0.8218385;0.8168002;0.6406255;0.41318077;0.20260651;0.061640028;-0.0069109164;0;0;0;0;0;0;0;0;0;0
jaw_up;0;0;0;-0.0007006872;-0.0006857789;-0.0013715578;-0.0013417412;-0.0027132991;-0.0012522916;-0.0019231621;0.0023256852;0.0015802734;0.002951831;0.001490824;0.0014610073;0.00073050364;0.0007155954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;-0.00038168684;0.0028944581;0.0153787965;0.04115856;0.07395977;0.11556363;0.14457977;0.13946676;0.1026499;0.053483862;0.012333254;-0.0014869883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0.00010019278;-0.001257976;0.00012802413;0.0058000493;0.022721495;0.048816152;0.07153765;0.074276246;0.057655383;0.030235955;0.009139809;0.0005399277;0.0013136388;0.0041190367;0.0051320973;0.013303376;0.018925304;0.020049687;0.015262701;0.0071070082;0.003416574;0.025297008;0.061900772;0.10051841;0.122482345;0.1217526;0.09545199;0.061558448;0.030173056;0.009192687;-0.0010303158;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;-0.00045717598;0.0033972778;0.01953017;0.047699187;0.073684365;0.07804647;0.058489576;0.028438052;0.0066572535;-0.00091286754;0.0009907952;0.0034510845;0.004085639;0.016754461;0.026495425;0.029779524;0.022810556;0.010937156;0.0027258;0.023161232;0.05661393;0.09188513;0.11199382;0.11133589;0.08733304;0.056299992;0.027583074;0.008382796;-0.00094014226;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;0;0;0;0;-0.0000333976;-0.00010019281;0.004018844;0.018146027;0.042034212;0.07897308;0.11231612;0.12391623;0.1153052;0.09940239;0.074608006;0.053012002;0.030636726;0.009551711;-0.0010575905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
