;meta[fps=30]
;meta[frames=23]
jaw_open_a;0;0;-0.0055466667;-0.003874287;0.024673147;0.0630941;0.09402629;0.11842973;0.098041534;0.057821717;0.027684575;0.0044647628;-0.008502858;0;0;0;0;-0.01161143;0.008365716;0.048411433;0.067794286;0.06651429;0.04457143;0.0019657137;-0.009051429;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;0;-0.014080001;0.014171429;0.05266286;0.0608;0.07113143;0.07419429;0.07204572;0.08361143;0.0768;0.034422856;0.0053942865;-0.009874286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;-0.0006011568;0.0060115675;0.011743231;0.017831137;0.0175894;0.012945544;0.004917398;0.002735422;-0.00031171084;0.0000031807203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;-0.001073494;0.010858988;0.020229397;0.022409784;0.036188684;0.06364628;0.0786084;0.08683853;0.06565013;0.031093158;0.011617591;0.0066318074;-0.00066318066;-0.000000000006665129;0;-0.0014456388;0.013339954;0.040077116;0.05846965;0.056823626;0.036785066;0.0097187;-0.0011164339;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;-0.0044424105;0.042505067;0.10803857;0.14944099;0.13698316;0.08121447;0.011567233;-0.005894941;-0.0031807234;-0.0015903617;0.00015903616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;0.024693461;0.030426353;0.029098166;0.023808002;0.016751438;0.010580331;0.0061711064;0.0030855532;0.0008809413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;-0.0016062654;0.014957353;0.043178324;0.062262665;0.05975784;0.03816868;0.0094467485;-0.0011053013;0;0;0;0;-0.00085879536;0.008683375;0.016221689;0.019561447;0.014790364;0.0066795186;-0.0018130123;0.00009542171;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;-0.0029426995;0.027164584;0.07887584;0.14286025;0.18636;0.18696254;0.14948209;0.10680486;0.06168629;0.02837701;0.009922796;-0.0010798556;0;0;0;-0.0051988927;0.04791442;0.14472291;0.21146245;0.20584051;0.13347906;0.035546172;-0.0040745065;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;-0.0027720002;0.025867827;0.071812615;0.1261056;0.1612255;0.16101815;0.117846206;0.074077256;0.031025808;0.006211953;-0.00079412066;0;0;0;0;-0.0049428446;0.045520928;0.13793206;0.2017215;0.19654486;0.12757881;0.034132343;-0.003907519;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;-0.0004786989;0.0035256727;0.02101154;0.047780834;0.074983165;0.09602923;0.09077466;0.072899915;0.048735254;0.026680967;0.010290169;0.0057518077;-0.000664241;0.000007421682;0;-0.00055106037;0.005588531;0.010241929;0.012217954;0.009073013;0.003952049;-0.0013303376;0.00007792773;0;0;0;0;0;0;0;0;0;0
corner_left_spread;0;0;-0.00047498802;0.0034303968;0.021470018;0.0493635;0.07714242;0.09771209;0.091348924;0.072218314;0.04779567;0.026202269;0.010089785;0.005640483;-0.00065310847;0.000007421682;0;-0.0005454941;0.0055328687;0.010130605;0.012078797;0.008961689;0.0038963861;-0.0013247713;0.00007792773;0;0;0;0;0;0;0;0;0;0
corner_right_out;0;0;-0.001521446;0.01239793;0.0569288;0.109362274;0.14942455;0.15645288;0.15691674;0.15061201;0.1559601;0.1531391;0.13005024;0.08635505;0.050708685;0.01565234;-0.001736675;-0.00536588;0.049317118;0.15073448;0.22098075;0.21585979;0.14049256;0.03805099;-0.0043416875;0;0;0;0;0;0;0;0;0;0
