;meta[fps=30]
;meta[frames=17]
jaw_open_a;-0.0018285715;0.0017371433;0.01472;0.040137142;0.072822854;0.095350854;0.08163658;0.084896006;0.1220663;0.12914744;0.11496228;0.07603657;0.009188571;-0.01792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0.0009142863;0.02048;0.047862865;0.07621486;0.09928229;0.102089144;0.08669867;0.073380575;0.08266057;0.0759101;0.062985145;0.04220343;0.0077409525;-0.010971429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_chew;0.0009733014;0.008616581;0.026794417;0.055077404;0.07700532;0.087415814;0.08795972;0.09082238;0.08385659;0.06786391;0.03859808;0.012528868;-0.0013740724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;-0.000028626511;0.0002576386;0.0002719518;0.0056680497;0.02646521;0.059757844;0.07812175;0.06997393;0.059507363;0.062706366;0.07994311;0.087096155;0.06544736;0.02742062;0.005668049;-0.0007156627;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0.00007951808;-0.00069180736;-0.003363615;0.00086277054;0.03538555;0.065165065;0.075760856;0.057038326;0.024030367;-0.0024769886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;0.07378222;0.11381761;0.14710362;0.18646137;0.19986525;0.19659898;0.15219954;0.111242555;0.06649073;0.04017092;0.019001225;0.00704753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;-0.00070612057;0.0059733978;0.023626411;0.051521357;0.08508436;0.09573977;0.07836667;0.045223523;0.014911232;-0.0016285303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0.012846941;0.048526704;0.09730946;0.13463685;0.16178463;0.1815471;0.21754748;0.27727795;0.28662932;0.22968642;0.1299289;0.06831256;0.09409605;0.18173859;0.2117686;0.1723455;0.08575946;0.017889977;-0.0022292896;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0.015785929;0.057722177;0.11272801;0.15097716;0.17949203;0.196625;0.22093177;0.24718672;0.22979774;0.16443639;0.08516053;0.047198597;0.07890015;0.15056749;0.17547652;0.14284429;0.07110904;0.014861929;-0.0018507834;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;0;-0.0005566266;0.0045086755;0.020272339;0.04775856;0.08255663;0.100382045;0.08921611;0.05761086;0.023990607;0.0026940724;-0.00043639523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_spread;0;0;0;-0.0005677591;0.0045977356;0.020684244;0.048782755;0.08416862;0.10413371;0.0943148;0.062820874;0.027675476;0.0043528206;-0.00060560985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
