;meta[fps=30]
;meta[frames=13]
jaw_open_a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_chew;-0.0006889447;0.00047520027;0.00879788;0.028053978;0.057911433;0.07276859;0.06493256;0.039101906;0.013082317;-0.0014217835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_back;0.15405515;0.16405852;0.13598865;0.10090618;0.14205112;0.26249835;0.4483541;0.6537121;0.8404891;0.9067853;0.7775948;0.5095671;0.23129784;0.046051625;-0.010436405;0.00038486754;0;0;0;0;0;0;0;0;0
jaw_up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0.033824347;0.07303128;0.11287274;0.13536792;0.14541645;0.1412949;0.13770302;0.13478862;0.13825312;0.13381496;0.11575066;0.07618628;0.034433395;0.006815652;-0.0015972;0.00006122892;0;0;0;0;0;0;0;0;0
corner_left_tight;0.028528968;0.060943183;0.09365056;0.11221697;0.121106565;0.119447775;0.11904848;0.11950986;0.12488471;0.12211323;0.10554117;0.06945635;0.031469915;0.0063328175;-0.001385523;0.000048983144;0;0;0;0;0;0;0;0;0
corner_right_spread;-0.00022710368;0.0005833448;0.0048894086;0.015209265;0.035869017;0.047958948;0.045605533;0.029416606;0.010889844;-0.0011555569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_spread;-0.00022710368;0.0005788917;0.0049294853;0.015351761;0.035980344;0.047981214;0.045516472;0.029278558;0.01079633;-0.0011466509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_out;0.13280366;0.20650475;0.25520214;0.25834823;0.2529504;0.24585551;0.26261228;0.29743809;0.34092277;0.35094848;0.3021053;0.19842719;0.09001876;0.017994301;-0.004034111;0.00014694943;0;0;0;0;0;0;0;0;0
corner_left_out;0.14277102;0.22736897;0.28683525;0.2949658;0.28710717;0.26934943;0.27065784;0.2900487;0.32204005;0.32685927;0.28164428;0.18503906;0.083901115;0.016792465;-0.0037349642;0.00013470365;0;0;0;0;0;0;0;0;0
corner_right_in;0.028179778;0.061050802;0.08350735;0.07717627;0.05056396;0.013178693;-0.00069244293;-0.0012691086;-0.000031171094;0.000011132533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_in;0.030545441;0.06294333;0.084453605;0.07708164;0.05056396;0.013178693;-0.00069244293;-0.0012691086;-0.000031171094;0.000011132533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_up;0.05975201;0.07476795;0.07839901;0.07411685;0.08944422;0.12255581;0.17427121;0.23229301;0.28734815;0.30508274;0.26195657;0.17171389;0.077823706;0.01543843;-0.0035687715;0.00013470365;0;0;0;0;0;0;0;0;0
corner_left_up;0.055310126;0.061570324;0.05237856;0.03997342;0.05404542;0.09491645;0.15782453;0.2252037;0.2845096;0.30506876;0.26177287;0.17158619;0.077835955;0.01543843;-0.0035687715;0.00013470365;0;0;0;0;0;0;0;0;0
