;meta[fps=30]
;meta[frames=24]
jaw_open_a;0;0;0;0;0;0;0;-0.005965715;0.00081142853;0.019725714;0.053477548;0.077933066;0.09682776;0.10113632;0.1063804;0.105280004;0.11539918;0.104894705;0.08512327;0.06432653;0.04339266;0.020525714;0.012891429;0.0058057145;-0.0009600002;-0.0013714286;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;-0.007885714;0.008674285;0.025622856;0.041211426;0.042994287;0.03097143;0.0009371432;-0.000011429191;0.009531428;0.0536;0.07209143;0.067771435;0.040640004;0.009622858;-0.020068571;0.0071680006;0.03145143;0.053796574;0.060416013;0.046372574;0.013312001;0.00073142844;-0.0038765715;-0.00128;0.0003657143;0;0;0;0;0;0;0;0;0;0
jaw_front;0;-0.00085879536;0.006977712;0.032068845;0.06378558;0.09991654;0.1252696;0.12737367;0.116288036;0.108487315;0.10168709;0.09120693;0.06973418;0.036899574;0.01001928;-0.0034924345;0.021870654;0.060867112;0.100428954;0.12191316;0.11532906;0.0795316;0.04903006;0.021791931;0.0041365307;-0.0005367471;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0.00009542171;-0.0022583136;0.0082433745;0.05258796;0.08847712;0.09735664;0.07091953;0.027587475;-0.0028891573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;-0.000013552943;-0.00052404706;-0.00029816464;-0.00056922337;-0.00011745846;-0.00063246995;0.0013327067;0.0013824009;0.005150119;0.003948425;0.0044634365;0.0024847065;0.0019922827;0.0010029179;0.0007499295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;0;0;0;0;-0.0012677456;0.010982585;0.04052242;0.08176505;0.11845696;0.13523641;0.13109124;0.11247037;0.08197292;0.0471849;0.018684478;0.0012484337;-0.00093036157;0.00039759043;0.00025445785;-0.000023855428;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;-0.0013080724;0.010180701;0.052214354;0.1160121;0.19543603;0.26330385;0.2911046;0.29741114;0.29795942;0.27849862;0.24497503;0.20211191;0.149463;0.108316354;0.07856784;0.050851814;0.027246077;0.014725159;0.0074094953;0.0020849647;-0.00023855429;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;-0.0013665182;0.010698362;0.054076273;0.118546434;0.19794531;0.26443884;0.2900665;0.29106006;0.2825771;0.25408462;0.21594584;0.17328724;0.12535389;0.08990475;0.06528594;0.043257836;0.024200534;0.013729593;0.0070977854;0.0020261211;-0.00023060248;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;0;0;0;0;0;-0.00013915668;0.00064012076;0.008983953;0.030729763;0.055706393;0.07909506;0.09354747;0.09834718;0.09580499;0.10055698;0.09403172;0.075933404;0.047780026;0.020137157;0.00034510856;-0.0010631568;0.0003117109;0.00017812052;-0.0000166988;0;0;0;0;0;0;0;0;0;0
corner_left_spread;0;0;0;0;0;0;0;-0.00013637352;0.00062342186;0.008836448;0.030210909;0.055256322;0.07939443;0.09513583;0.101210624;0.09944652;0.10347052;0.095609374;0.07617912;0.047282245;0.019598026;0.00026161477;-0.0010520241;0.0003117109;0.00017812052;-0.0000166988;0;0;0;0;0;0;0;0;0;0
corner_right_out;0;-0.00042860248;0.0033007958;0.016300809;0.049842574;0.09136023;0.13503818;0.17009062;0.19318841;0.19471079;0.18049239;0.14074814;0.09946377;0.07476196;0.07576165;0.09499309;0.116431974;0.12686555;0.13832808;0.15422612;0.15845966;0.13677905;0.089399785;0.03777825;0.0067351814;-0.0008961688;0;0;0;0;0;0;0;0;0;0
corner_left_out;0;-0.00042860248;0.003284097;0.016417703;0.05062853;0.09319599;0.13826548;0.17463937;0.19851531;0.19883537;0.18189222;0.1391829;0.096060075;0.07094858;0.072425075;0.09175194;0.11331963;0.12407048;0.13544634;0.15075675;0.15463088;0.13339953;0.08730131;0.036948867;0.006623856;-0.0008794699;0;0;0;0;0;0;0;0;0;0
corner_right_in;0;-0.0033703742;0.03160526;0.087707646;0.131655;0.14695944;0.12902492;0.08533364;0.059809525;0.047246464;0.06145602;0.08052605;0.084461406;0.060226995;0.024680821;-0.0025604824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_in;0;-0.0031894704;0.029751692;0.0844653;0.12859634;0.14698505;0.13314007;0.09226086;0.06515314;0.050750434;0.060654487;0.07683339;0.079578675;0.05623042;0.022476584;-0.0023433978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_up;0;0;0;0;0;0;0;-0.00060672296;0.005043037;0.021157376;0.047842056;0.06211953;0.057026394;0.03401545;0.011165928;-0.0012190123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_up;0;0;0;0;0;0;0;-0.0007792773;0.0066683865;0.025565863;0.05460507;0.06896603;0.061869044;0.03573543;0.011511039;-0.0012635425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lips_out;0;-0.0023736148;0.02147465;0.068527095;0.11815639;0.15417951;0.15970635;0.1287692;0.1012472;0.08833664;0.08717331;0.09606497;0.10256307;0.09664515;0.087332666;0.07802019;0.06878268;0.060655486;0.064975366;0.0780679;0.08533154;0.07493466;0.04977673;0.021212243;0.0037596154;-0.00050096394;0;0;0;0;0;0;0;0;0;0
lip_upper_front;0;-0.0021012654;0.019253714;0.058852132;0.09381774;0.115528956;0.114430174;0.08899624;0.06727389;0.05322464;0.052541096;0.05782905;0.05529417;0.03622526;0.013704146;-0.0014472291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lip_lower_front;0;-0.0028443618;0.026556652;0.0751084;0.113937005;0.13014597;0.1185687;0.08220818;0.061902445;0.05483607;0.07003031;0.08616691;0.08541323;0.056898374;0.022042412;-0.0023155666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lip_upper_back;0;0;0;0;0;0;0;0.000022265065;-0.00031913258;-0.00019296387;0.008497832;0.016216388;0.019519038;0.015236724;0.007028338;-0.00071248197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
